what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1253675046625
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1253675047484
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1253675047515
activated,view,org.python.pydev,1.4.6.2788,org.python.pydev.navigator.view,1253675047546
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1253675047968
started,bundle,org.python.pydev.customizations,1.4.6.2788,org.python.pydev.customizations,1253675048265
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253675048437
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253675048562
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253675053234
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253675053328
activated,view,org.python.pydev,1.4.6.2788,org.python.pydev.navigator.view,1253675059453
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253675072937
activated,view,org.python.pydev,1.4.6.2788,org.python.pydev.navigator.view,1253675075875
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253675076171
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253675076281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253675088000
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253675106859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253675109609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253675110093
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1253675129093
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253675130218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253675131437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253675132140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253675133015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253675135046
