what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255057541187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255057541609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255057918937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255057919890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255058562531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255058563593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255058564562
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1255058571546
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1255058575203
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255058585062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255058644359
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255058645171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255058645953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255058647312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255126122843
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1255126166625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255126171812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255126172796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255126173062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255126173078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255126173203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255126215453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255126216593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255126220187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1255126223921
